"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","ReadCount","Length"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\Exercise2\Acl-Logs-csv.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\Exercise2","Acl-Logs-csv.txt","C","Microsoft.PowerShell.Core\FileSystem","1","0"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\Exercise2\Acl-Logs-csv.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\Exercise2","Acl-Logs-csv.txt","C","Microsoft.PowerShell.Core\FileSystem","2","94"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\Exercise2\Acl-Logs-csv.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\Exercise2","Acl-Logs-csv.txt","C","Microsoft.PowerShell.Core\FileSystem","3","0"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\Exercise2\Acl-Logs-csv.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\Exercise2","Acl-Logs-csv.txt","C","Microsoft.PowerShell.Core\FileSystem","4","41"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\Exercise2\Acl-Logs-csv.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\Exercise2","Acl-Logs-csv.txt","C","Microsoft.PowerShell.Core\FileSystem","5","41"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\Exercise2\Acl-Logs-csv.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\Exercise2","Acl-Logs-csv.txt","C","Microsoft.PowerShell.Core\FileSystem","6","76"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\Exercise2\Acl-Logs-csv.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\Exercise2","Acl-Logs-csv.txt","C","Microsoft.PowerShell.Core\FileSystem","7","0"
